Storage Bin,Material,Material Description
R10L01,5004187,Valve for Shaking Cylinder 1-981-00094
R24L02,5004188,"Valve Globe 1"" (steam)"
R24L02,5004189,"Valve Globe 1/2"" (steam)"
R23L01,5004191,"Valve Globe 2 1/2"" (steam)"
R10L02,5004193,Valve hidrolik shacking mat: SS 304
R06L02,5004194,Valve Ink Alphajet type E
R08L05,5004196,Valve Mekanik NW02-3/2-M005-WHL  BOSCH
R21L04,5004197,Valve Numatics P01640EL4005U00 1-10 bar
L01L05,5004198,Valve Pneumatic PNEUMAX 228.32.11.1
R10L01,5004199,Valve Pneumatic Shaking FESTO S808
R10L02,5004200,Valve shaft regulator
R24L03,5004202,"Valve SS 316 1"" KITZ"
R24L03,5004204,"Valve SS 316 1/2"" Kitz type Ball Valve"
R24L03,5004207,"Valve uk. 1/2"" kuningan KITZ"
R08L05,5004208,Vanes for BUSCH Vacuum Pump RA 0165 D
R11L04,5004210,"Variable area flowmeter +GF+ SK70, 1"""
R11L04,5004211,"Variable area flowmeter +GF+ SK72, 1"""
R06L02,5004212,V-Belt Gates power grip GT LL-5MR
R08L01,5004215,Vibrator Houston BV-150 PN 30240
R09L01,5004217,VMECA Vacuum Catridge: VCL303
R27L05,5004218,"V-Trap PVC 2"""
R01L02,5004219,"Wander Plugs 16 A, 3 Phase+E SCHNEIDER"
L02L06,5004223,"Washer 13x25,7x1mm Aramid Mat. OILES"
R06L02,5004224,"Washer Lock, Ring#4,.115 ID, PN:206-313"
R06L02,5004226,"Washer, Plate, 0,25X125 ID PN: 193-499"
R27L01,5004228,"Water mur 1 1/2"""
R27L01,5004229,"Water mur 1 3/4"""
R27L01,5004230,"Water mur 2"""
R27L01,5004231,"Water mur Glv 3/4"""
R19L04,5004233,Wheel complete (Nylon) PN: 160421
R26L03,5004235,Wing Nut M10 SS 304 ( mur kupu-kupu )
R26L03,5004236,Wing Nut M5 SS 304 ( mur kupu-kupu )
R26L03,5004237,Wing Nut M6 SS 304 ( mur kupu-kupu )
R26L03,5004238,Wing Nut M8 SS 304 ( mur kupu-kupu )
R05L05,5004249,Box outbow Clipsal
F0301,5010610,"ACRYLIC, UK.T= 5 MM"
R17L05,5010623,AIR FILTER PN 2903 7407 00
R02L05,5010626,"Air Regulator AR20-01BG-A, SMC"
R16L04,5010633,Amplas Bor
R03L05,5010635,Amplifier sensor FS-N11N Keyence
R04L02,5010663,Balas lampu SON 250 watt (mercury)
R21L05,5010668,Batery Program 3G2A9-BAT 08
R01L05,5010672,Battery Lithium CR2032 3V Thermo Hygro
R05L02,5010674,"Baut kunci 17 uk 10 x 50 mm, mat.: SS"
R26L03,5010679,Baut L 6 uk. M8 X 15 mm Stainless Steel
R26L02,5010685,Baut SS L5 tanam 10x20 mm
R08L02,5010688,Bearing 2309 SKF ETN9/C3
R12L05,5010697,Belt BESTPAC V2B-FC6(L)N20M+Cleat NE.Z06
R32L02,5010702,Besi Behel SS dia. 10 mm
R32L02,5010703,"Besi Behel SS dia. 12 mm, SUS 304"
R32L02,5010704,"Besi Behel SS dia. 14 mm, SUS 304"
R32L02,5010709,Besi siku SS uk. 50 x 50 x 5 mm
R32L02,5010712,"Besi Siku uk. 30x30x1,5 mm"
R32L02,5010713,Besi siku uk. 30x30x3 mm
R32L02,5010715,Besi Siku uk. 50 X 50 X5 mm
L01L06,5010728,Capacitive E2K-C25ME1 2M OMRON
R07L03,5010738,Cirkuit Breaker 3RV1011-1KA10 Siemens
R06L02,5010739,Conector Alarm
R01L04,5010745,Crustin uk. 6 mm
R13L05,5010747,Cylindrical Sensor E3FA-DN12 2M Omron
R02L05,5010751,"Digital pressure switch DP4-50Z, SUN X"
R15L04,5010752,Dinabolt uk. 8 x 50 mm
L02L07,5010753,Discharge Clipper B RC0022A/ RC8002BZ
R26L04,5010765,Double neple SS uk. 3/8 inch
R27L05,5010772,Elbow 1 1/4 inch PVC
R23L02,5010776,"Elbow BS 2"", SCH 40 (Black steel)"
R27L02,5010779,"Elbow drat dalam GLV 1 1/2"""
R27L02,5010780,"Elbow drat dalam Glv 1"""
R27L02,5010781,Elbow drat dalam Glv 3/4
R02L05,5010786,Electromagnetic valve SY3140-5GS SMC
R17L06,5010798,FAN ASSY PN 1630 0600 02
R12L02,5010800,Fan Belt SPA 1032
R11L05,5010808,"Filter, Bag Filter PP 5P01G-W, 5micron"
R07L06,5010814,Filter catridge PMC Seri PN PMC 1-20 P7S
R17L05,5010818,Filter Dryer DD 170-195 P/N 2901 0194 00
R17L05,5010821,Filter Dryer PD 120 PN 2901 0536 00
R17L05,5010822,Filter Dryer PD 170-195 PN 2901 0199 00
R09L01,5010842,Filter Vacuum PIAB Ø125 x 150 mm
R16L04,5010850,Gerinda batu bor
R14L02,5010858,"Ink, JP-K67, Hitachi"
R07L01,5010869,"Kabel NYYHY uk. 4 x 2,5 mm Jembo"
R13L01,5010877,"Kompressor AC 2,5 PK/ 3 PH, 380-430Volt"
R16L03,5010884,"Kuas uk. 3"""
F0401,5011097,"Conn. DIN3902gvL6EO2,PN.0063606,POS 310"
F0401,5011098,"Conn. DIN3902gvL8EO2,PN.0063614,POS 370"
F0401,5011099,"Conn. DIN3902gvL10EO2,PN.0063622,POS 410"
F0401,5011100,"Conn. DIN3902gvL12EO2,PN.0063649,POS 450"
F0401,5011101,"Conn. DIN3902gvL15EO2,PN.0063657,POS 490"
F0401,5011104,"Cor.Protec.Cora. Liq.BL3PN.2127326,POS20"
F0401,5011105,"DoublCon.RingDIN3862St4,PN1348833,POS260"
F0401,5011106,"DoublCon.RingDIN3862St6,PN0059676,POS320"
F0401,5011107,"Dich.ClDIN32676DN40,PN.1945696(*),POS580"
F0401,5011108,"Dist.Ledge1 M10x1 ,PN.0077887,POS800"
F0401,5011109,"Distr.Ledge 2x3 M10x1 PN.1491474,POS810"
F0401,5011110,"Distr.Ledge 3 M10x1, PN.0077844,POS820"
F0401,5011111,"Distr.Ledge 4 M10x1,PN.0077852,POS830"
F0401,5011113,"Dosing valve Gr.2 20mm,PN.0107468,POS880"
F0401,5011114,"Dosing valve Gr.10 100,PN.0107484,POS890"
F0401,5011116,"Dichtr.Cl.DIN32676,PN.1945726(*),POS1220"
F0401,5011117,"Dichtr.Cl.DIN32676,PN.1945742(*),POS1230"
F0401,5011118,"Dichtr.Cl.DIN32676,PN.1945717(*),POS1240"
F0401,5011119,"Dichtr.Cl.DIN32676,PN.1945687(*),POS1250"
F0401,5011120,"Dichtr.Cl.DIN32676,PN.1945742(*),POS1310"
F0401,5011122,"Guide BS-50703-47-T,PN.1050842, POS1050"
F0401,5011124,"Grease, LE 4702 NLGI 0 (15,9KG)"
F0401,5011125,"Grease, LE 4702 NLGI 0 (0,400KG)"
F0401,5011126,"Grease, LE 3752 NLGI 2(0,400KG)"
F0401,5011127,"HydraulicHoseBF44RS,PN.0082554,POS10&900"
F0401,5011131,"High-pres.HoseSMA3x5000,PN.0080659,POS30"
F0401,5011133,"Hose AD 4 x0,75PA11/12,PN.0075523,POS240"
F0401,5011134,"Hose AD 6 x1 PA11/12,PN. 0075558,POS280"
F0401,5011135,"Hose AD 8 x1 PA11/12,PN.0075566,POS340"
F0401,5011136,"Hose AD 10 x1 PA11/12,PN. 0075582,POS380"
F0401,5011137,"Hose AD 12x1,5 PA11/12,PN.0075604,POS420"
F0401,5011138,"Hose AD 15x1,5 PA11/12,PN.0075612,POS460"
F0401,5011139,"Hose ID 18x4Typ74-PVC,PN.0074802,POS610"
F0401,5011140,"Hose ID 25x4Typ74-PVC,PN. 0074829,POS620"
F0401,5011141,"Hose ID 40x5Typ74-PVC,PN. 0074845,POS630"
F0401,5011143,"Hose rot um.VMQ ID10x4,PN.0075434,POS720"
F0401,5011144,"Hose PVC-glas.ID25x4,5,PN.0075167,POS730"
F0401,5011145,"Hose ID5x1,5rotTPS0805,PN.1987682,POS740"
F0401,5011146,"Hose ID5x1,5blTPS0805BU,PN1987666,POS750"
F0401,5011147,"Hose ID5x1,5grTPS0805-G,PN1987674,POS760"
F0401,5011148,"Hose Cl.20-20x1300/PTFEPN.2072505,POS770"
F0401,5011149,"Hose GP40 ID13x3,5,PN.0075507POS780"
F0401,5011153,"High Temp.OPTILEB GR9830,PN1291408,POS80"
F0401,5011154,"Lever grease gunDIN1283,PN.1266284,POS50"
F0401,5011155,"Male fitting DIN3871PN.1170643,POS850"
F0401,5011156,"Membrane strip VMQ, PN.1506293,POS1110"
F0401,5011159,"Membran Teil2PDM70,PN.2277506(*),POS1180"
F0401,5011162,"O-ringISO3601-1-B-NBR70,PN0107018,POS690"
F0401,5011163,"Oil appl.brush30046809,PN.0077526,POS860"
F0401,5011167,"O-ringDIN3771FKM70, PN.0088099(*),POS970"
F0401,5011168,"O-ringDIN3771FKM80,PN.1258672(*),POS980"
F0401,5011174,"O-ringDIN3771FKM70,PN.1459821(*),POS1060"
F0401,5011176,"O-ringDIN3771VMQ70,PN.1635468(*),POS1080"
F0401,5011180,"O-ringDIN3771EPDM70,PN.2377411(*)POS1140"
F0401,5011181,"O-ringDIN3771EPDM70,PN.1063723(*)POS1260"
F0401,5011183,"O-ringDIN3771EPDM,PN.2377411(*)POS1320"
F0401,5011184,"Pneumatic cyl. DW25-15,PN. 2490382,POS70"
F0401,5011185,"Pneumatic cyl. DW40-130,PN.2260336,POS80"
F0401,5011189,"Pneumatic cyl. DW63-40,PN.2260611,POS120"
F0401,5011190,"Pneumatic cyl.DW32-110,PN.2260166,POS130"
F0401,5011191,"Pneumatic cyl. DW63-25,PN.2260602,POS140"
F0401,5011192,"Pneumatic cyl. DW40-15,PN.2272814,POS150"
F0401,5011193,"Pneumatic cyl. DW32-25,PN.2414006,POS160"
F0401,5011194,"Pneumatic cyl.DW63-25,PN.2397463,POS170"
F0401,5011195,"Pneumatic cyl.DW100,PN2261073,POS180&190"
F0401,5011196,"Pneumatic cyl. DW50-25,PN.2260425,POS200"
F0401,5011197,"Pneumatic cyl. DW20-15,PN.1977806,POS210"
F0401,5011198,"Pneumatic cyl.DW20,PN.1709682,POS220&230"
F0401,5011199,"Prox. Switch MK5102,PN1946161,POS162&172"
F0401,5011200,"Sup. sleeve MS4x0,75,PN.0065366,POS250"
F0401,5011201,"Supp. sleeve MS 6x1,PN.0065374POS290"
F0401,5011202,"Supp. sleeve MS 8x1,PN.0065382,POS350"
F0401,5011203,"Supp. sleeve MS 10x1,PN.0065404,POS390"
F0401,5011204,"Supp. sleeve MS 12x1,5,PN.0065439,POS430"
F0401,5011205,"Set of spare parts, PN.1182188,POS560"
F0401,5011206,"Set of spare parts, PN.2166657,POS570"
F0401,5011207,"Set of spare parts 210,PN.1258923,POS700"
F0401,5011208,"Sealing ring DIN 7603 ,PN.0085294,POS840"
R01L02,5011216,Pully seling pintu Albany
R15L04,5011225,"Stupping Gypsum uk. 6x 1 1/2"""
R07L05,5011234,"Temperature Sensor no84799070,D100000470"
R10L03,5011240,Auxilary M22-K01 NC PN.216378 Moeller
R10L03,5011243,Auxilary M22-K10 NO PN.216376 Moeller
R11L05,5011244,Balas Lampu UV BA-ICE-CM
R11L01,5011248,"Klem Belt Glatt Spring Plate T.0,8mm 304"
R05L04,5011249,Saklar lampu sensor gerak PIR
R13L02,5011252,Belt NAB-5EEDV+ProfilePVS-10C2270x145 x1
R17L01,5011257,Gear super mixer
R13L02,5011259,Belt Conv. Mat.PVC+Profile1475x145x1mm
R10L04,5011260,"Klockner DILM150-XH122, Moeller"
F0201,5011262,"Filter Carbon Sponge,2 x 1 Mtr,T.10mm,PU"
R11L06,5011263,Penghalang Angin AC Mat. Acrilik T 5 mm
L02L07,5011265,"Tutup carbon brush,mat&dimensi sesuai"
R07L02,5011266,"Controlled Motorized Valves ZTV25 ; 1"""
R09L01,5011271,"Seal Flange PIAB 180X210X5,5mm silicon"
L01L01,5011278,Timing Belt S8M 656 15x656 82 Mitsuboshi
L01L01,5011279,Timing Belt S8M 712 15x712 89 Mitsuboshi
R07L04,5011281,Spring Shacking Huttlin
L02L07,5011285,"Washer Shacking 29,8/31,5x37,5x1,5mm"
L02L07,5011286,"Seal Shacking Topack uk. 29,8x37x3,7mm"
R20L03,5011291,"Limit Switch XCJ128, Schneider"
R07L01,5011292,"Kabel NYMHY uk. 2 x 1,5 mm"
L02L08,5011298,Tutup karbon brush (sesuai contoh)
L02L06,5011304,"Bushing,Iglidur XFM-1012-15"
R08L05,5011347,"Solenoid valve Burkert 6106 C 1,2 24 VDC"
R14L03,5011406,Ink Solujet 5103K
R14L03,5011407,Make Up Solujet 5103T
STG-SUP-S2,5011407,Make Up Solujet 5103T
F0401,5011476,"Seal ring Cl. DN4 FKM PN.0091855,POS1190"
F0401,5011479,"Supp. sleeve MS 15x1,5 PN.0065447,POS470"
F0401,5011480,"Threaded uni.6512 4-M5,PN.2841711,POS500"
F0401,5011481,"Threaded uni.6463 4-M5,PN.2839597,POS510"
F0401,5011483,"Threaded union 6580 8,PN.2845156,POS 530"
F0401,5011484,"Threaded union 6580 10,PN.2845164,POS540"
F0401,5011485,"Threaded union 6580 10,PN.2845172,POS550"
F0401,5011486,"Uni. nut gv d 4-M8x1, PN.1094653,POS 270"
F0401,5011487,"Uni. nut gv L6 M12x1,5PN.1339613,POS 300"
F0401,5011488,"Uni. nut gv d 6-M10x1,PN.1079697,POS 330"
F0401,5011489,"Uni. nut gv L8 M14x1,5PN.1340654,POS 360"
F0401,5011490,"Uni. nut gv L10 M16x1,5PN.1341227,POS400"
F0401,5011491,"Uni. nut gv L12 M18x1,5PN.1341235,POS440"
F0401,5011492,"Uni. nut gv L15 M22x1,5PN.1341243,POS480"
L02L05,5011548,Shutter inner washer RP2051+Z
L02L06,5011549,Shutter Close Cam RP8893+Z
L02L06,5011550,Shutter Open Cam RP8895+Z
R11L04,5011653,"FILTER CARTRIDGE, 3UM, 10 INCH, 226&FIN"
R01L01,5011697,"SPIRAL WRAPPING BAND KS-15, KSS"
R02L01,5011732,"Belt Conveoyr CD ONI 5 EI (T.0,7 mm)"
R24L04,5011733,"STEAM TRAP 1 1/4"" FT14-10TV SPIRAX SARCO"
R22L04,5011734,Solenoid Valve 8296300.8171.230V AC G3/4
R08L03,5011735,Gland Packing Pure Teflon uk. 5 x 5 mm
R07L01,5011765,"Kabel NYAF 0,75 mm, Kuning"
R03L01,5011766,"Timing Belt T10 2760 9,5 Kevlar Habasit"
R10L02,5011799,"Adjustable Snap Fastener PKWSAJ1, Misumi"
R08L03,5011800,"Snap Key PKBSA, Misumi"
R08L03,5011801,"Snap Key PKBS1, Misumi"
R08L03,5011802,"Snap Key PKBS2, Misumi"
R27L05,5011803,"Sock drat luar 1"" PVC"
R24L03,5011804,"Valve 1"" KITZ , Ball Valve"
R06L04,5011805,Lem PVC 400 Gram
R10L02,5011807,"Bearing 6205 ZZ NR, SKF"
R07L04,5011808,Special Cylinder SPID554/50/80 Dia.50X80
R04L01,5011809,Pelindung Stop Kontak E223R-WE Schneider
R01L02,5011823,"Socket 16 A, 1 Phase 3 PIN PN. 83104"
R01L02,5011824,"Wander Plug 16 A,1 Ph 3 PIN PN.PKE16M423"
R33L05,5011903,Intersorb Plus CO2
R07L04,5011904,"Seal Washer Huttlin 32x42x7/9, Viton"
R03L01,5011951,BELT CONVEYOR 2190 X 30 MM HIJAU MAT F-0
R03L01,5011952,BELT CONVEYOR 1760 X 25 MM HIJAU MAT F-0
R10L02,5011954,"SEAL O-RING RUBBER 16,3 X 2,4 MM"
R06L02,5012029,FAN IJP HITACHI
R32L02,5012030,"PIPA GLV 3/4 SCH 40, ex. BAKRI"
R27L01,5012031,REDUSER GLV 1/2 X 3/4 DRAT DALAM SCH 40
R03L02,5012039,Sprocket RS 35 T14
R07L05,5012099,"Auxilary contact 3RH2911-2GA40, Siemens"
R07L05,5012100,"Kontaktor 3RH2140-2BB40, Siemens"
L01L01,5012103,"Belt Brake A 3 LL, 1000 x 25mmxT. 4,2 mm"
R15L05,5012132,"Kran air T23B13, TOTO"
R04L03,5012134,"Stecker Arde type L, sn. S-30, Uticon"
R33L03,5012145,Inverter Danfoss VLT FC 300 11 KW/15 HP
R07L05,5012146,"Profibus card 130B1100, part Inverter"
R07L05,5012147,"Control Card FC302, part Inverter"
R16L04,5012148,Kits Piston Push Kran untuk T60P TOTO
L02L06,5012149,"Ring Plate ID9xOD17x2mm, Kuningan"
R02L04,5012175,"Proximity switch TL-W5MD1, Omron"
R02L04,5012176,"Limit switch Z-15GW2-B, Omron"
R02L04,5012177,"Micro switch Z-15GQ22-B, Omron"
R02L04,5012178,"Proximity switch TL-Q5MC1 2M, Omron"
R02L04,5012179,"Photo electronic sensor HP7-T11, Azbil"
R02L01,5012180,"Timing Belt 300P3M15, TSUBAKI"
R02L01,5012181,"Timing Belt 645PM15, TSUBAKI"
R02L04,5012182,Proximity switch E2E-C05S01-WC-C1 2M
R03L05,5012184,"Photo electronic sensor PZ-G62N, Keyence"
R11L06,5012186,Lampu UV S600RL-HO
R16L02,5012224,Jet Shower THX20MCR TOTO
R02L03,5012239,"LM Guide  SHS20C1SS THK, Block Only"
L01L02,5012240,LIO-01 JAPMC-IO2300-E Sink Output part
R12L05,5012263,Rubber Coup. Spac Dia.35x12 S1.B04.00398
R12L05,5012264,"Coupler Dia. 35 x 39, S1.B04.00436"
R19L03,5012271,Mekanikal seal TP80-400/2-AFB-BAQE
R07L04,5012290,"Oil Seal TC 30 x 40 x 5, NBR"
R02L05,5012291,"Vacuum Ejector ZK2A12K5NL2-06, SMC"
R11L05,5012335,Sol. Val. VUVG-LK14-T32C-ATG181H2LS FEST
L02L06,5012374,"Snap Ring Baja uk. 9 mm, model Luar"
L02L06,5012375,"Snap Ring Baja uk. 11 mm, model Luar"
R07L02,5012389,"Bearing 205 UC, FYH"
L02L02,5012394,"Chute Mounting Metal, RP0225BZ"
L02L02,5012395,"Vertical seal bar 145A, RP8001AZ"
L02L01,5012396,"Second film guide 160 mm, RF9601+Z"
L02L05,5012397,Horizontal chute movement pin mou RP0325
L02L08,5012442,Coil sol. Peter Paul PN O53Z0098 JCP 240
R03L03,5012471,"Rod Ends POS 6 EC L, IKO"
R03L03,5012472,"Rod Ends PHS 6 EC L, IKO"
R03L03,5012473,"Rod Ends PHS 6 EC , IKO"
R07L02,5012496,Plate SUS 304 uk. 230 x 230 x 5 mm
R16L02,5012541,Temp. Duct Sensor 50014157-001 Honeywell
R16L02,5012542,Digital Thermostat-Modul B7980 Honeywell
R10L02,5012697,"O-ring seal ID 27,5 x 2,7 mm NBR"
R13L03,5012700,"HTR,CRTG 496D 1.20L,147W,240V PN.1054660"
R13L03,5012701,Kit Hose/Gun Module P4 P7&P10 PN.1028328
L02L06,5012704,Horizontal Chute Movement
R19L01,5012827,Rantai RS-80
R13L05,5012849,Digi. Temp. Contr. E5CN-Q2HBT 220V Omron
R01L01,5012850,Stop kontak 2 Lubang type Atlantic Broco
R29L03,5012851,Freon R32 Dupont
R05L03,5012934,Local Control Panel PN. 130B1107
L01L02,5012996,Touch Panel Hakko V9080iSD
R09L02,5013019,"LM Guide  SSR-20 Series THK, Block Only"
R09L03,5013041,Attachment with weight and plate
R09L03,5013042,Tension Spring PN 12
R09L02,5013043,Universal joint NC-14 PN 26
R09L02,5013046,Pin PN 36
R09L02,5013047,Bearing (#6002ZZ) heat resistant
R09L02,5013049,"Timing Belt, 430-H-100"
R02L03,5013051,Brake Bearing Unit
R02L03,5013052,Rubber Roll (B)
R02L03,5013053,Feed Pully
R02L05,5013055,Electromagnetic Valve
R02L05,5013056,Operation Panel
R02L05,5013057,Operation Panel Cable
R02L03,5013060,Discharge Conveyor Belt
L02L05,5013093,One way control valve GRLA1/4-QS-6-RS-D
L02L05,5013094,One way control valve GRLA3/8-QS-10-RS-D
R19L05,5013106,Gasket Orange 900x20x100 PN 4006831
R19L05,5013107,Belting 200 JB PN 4008729
R13L04,5013109,Motor K9IP180 FC-SU Merk GGM 1 Ph 220V
R13L04,5013110,"Gear Head K9P5B, Merk GGM"
R03L02,5013111,"Sprocket, RS 35 T21"
R13L05,5013112,Fan cooling uk 80 x 80 x 37 mm (tebal)
R13L05,5013233,"Infrared Thermosensor FT-50 A, Keyence"
L01L06,5013234,SOLID STATE RELAY G3FD-102SN DC24V OMRON
L02L06,5013235,"Retaining ring E-Type, NETWS 4, MISUMI"
L02L06,5013236,"Retaining ring C-Type, STWS 8, MISUMI"
R02L02,5013237,"Silicone rubber pusher, SLLM12, MISUMI"
R02L02,5013238,"Bearing holder set,BACA6003ZZ, MISUMI"
L01L05,5013512,Proximity switch model: DPRI-01 IDEC
L01L05,5013513,Proximity switch Model RS-1 NO
L01L06,5013514,Photo Sensor E3Z-D61 Omron
R10L04,5013515,Temperatur Transmiter Sitrans T Siemens
R26L03,5013530,Mur/Nut Metrik M5 SS
R26L03,5013533,Mur/Nut Metrik M10 SS
R26L03,5013534,Mur/Nut Metrik M12 SS
R26L03,5013535,Mur/Nut Metrik M16 SS
R26L03,5013536,Mur/Nut Metrik M5 Baja
R26L03,5013537,Mur/Nut Metrik M6 Baja
R26L03,5013538,Mur/Nut Metrik M8 Baja
R26L03,5013539,Mur/Nut Metrik M10 Baja
R26L03,5013540,Mur/Nut Metrik M12 Baja
R26L03,5013541,Mur/Nut Metrik M16 Baja
R25L04,5013542,Ring/Flat Washer M3 SS
R25L04,5013543,Ring/Flat Washer M4 SS
R25L04,5013548,Ring/Flat Washer M12 SS
R25L04,5013549,Ring/Flat Washer M16 SS
R25L04,5013550,Ring/Flat Washer M5 Baja
R25L04,5013551,Ring/Flat Washer M6 Baja
R25L04,5013552,Ring/Flat Washer M8 Baja
R25L04,5013553,Ring/Flat Washer M10 Baja
R25L04,5013554,Ring/Flat Washer M12 Baja
R25L04,5013556,Ring/Spring Washer M3 SS
R25L04,5013557,Ring/Spring Washer M4 SS
R25L04,5013558,Ring/Spring Washer M5 SS
R25L04,5013561,Ring/Spring Washer M10 SS
R25L04,5013562,Ring/Spring Washer M12 SS
R25L04,5013563,Ring/Spring Washer M16 SS
R25L04,5013564,Ring/Spring Washer M5 Baja
R25L04,5013565,Ring/Spring Washer M6 Baja
R25L04,5013566,Ring/Spring Washer M8 Baja
R25L04,5013567,Ring/Spring Washer M10 Baja
R25L04,5013568,Ring/Spring Washer M12 Baja
R25L04,5013569,Ring/Spring Washer M16 Baja
R15L05,5013587,Floor Clean Out HN58 San-Ei
R32L02,5013588,"Pipa Galvanis uk. 1 1/2"""
R27L04,5013589,"Tee Galvanis drat 1 1/2"" x 1/2"""
R27L01,5013590,"Sock Galvanis Drat 1 1/2"""
R24L03,5013591,"Valve 1 1/2"" type Ball, Kitz"
R15L04,5013593,"Per Pintu uk. ID 6,5X OD10 X P.38 mm"
R16L03,5013603,Mata gerinda Keramik
R03L04,5013659,Slide Guide PN 11-77-3
R03L04,5013660,Rod End PN K11-32
R03L04,5013661,Rod End PN K11-33
R03L04,5013662,Con Rod PN 11-46-2
R03L02,5013663,Lever PN 11-28-1
R03L04,5013665,Bracket PN 08-314-1
R03L04,5013666,Vacuum Pad PN 05-36-1
R03L04,5013667,Vacuum Pad PN 23-69-1
R03L04,5013668,Cam Follower PN K11-1
R03L04,5013669,Coupling PN 11-39-1
R03L02,5013671,Spur Gear PN 15-106-1
R03L04,5013672,Guide PN 14-18-8
R03L04,5013673,Spring PN 09-29-1
R03L04,5013674,Spring PN 11-212-3
R03L06,5013675,Absocoder PN K98-1
R03L04,5013676,Gear head PN K08-105
R13L05,5013710,CONNECTOR OP-42367
R03L06,5013711,"Selang duct hose 3"""
R03L01,5013738,Belt PU Putih FNB 8 E uk. 1480 x 13 mm
R06L02,5013739,Conector IO Alphajet
R09L02,5013765,Sambungan Rantai RS-40
R03L03,5013801,Rod Ends PHS 8A ( kanan ) merk: IKO
R03L03,5013802,Rod Ends PHS 8LA ( kiri ) merk: IKO
R03L03,5013803,Rod Ends PHS 10A ( kanan ) merk: IKO
R03L03,5013804,Rod Ends PHS 10LA ( kiri ) merk: IKO
R03L03,5013805,Rod Ends PHS 12A ( kanan ) merk: IKO
R03L03,5013806,Rod Ends PHS 12LA ( kiri ) merk: IKO
R07L05,5013831,"Proximity Sensor NJ8-18GM50-E2-V1, P+F"
R16L01,5013864,Tubing TU1065C-100 SMC
F0301,5013921,Plate SUS 304 1200mm x 2400mm x 1mm
F0301,5013922,"Plate SUS 304 1200mm x 2400mm x 1,5mm"
R33L04,5013924,Inverter Danfoss FC102 HVAC Drives
R09L01,5013959,"Seal O-ring NBR 15,8 x 1,5 mm"
R09L01,5013960,"Seal O-ring NBR 9,4 x 2 mm"
R09L01,5013961,"Seal O-ring NBR 64,5 x 1,78 mm"
R09L01,5013962,"Seal O-ring NBR 7,3 x 1,78 mm"
R09L01,5013963,"Seal O-ring NBR 14,5 x 1,5 mm"
R09L01,5013964,"Seal O-ring NBR 17,2 x 1,5 mm"
R09L01,5013965,"Seal O-ring NBR 58,8 x 2,4 mm"
R09L01,5013966,"Seal O-ring NBR 41,4 x 1,78 mm"
R09L01,5013967,"Seal O-ring NBR 8,5 x 1,5 mm"
R09L01,5013968,"Seal O-ring NBR 9,7 x 1,5 mm"
R09L01,5013969,Seal silicone Valve PIAB topak as sample
R09L01,5013970,Seal silicone cover PIAB as Sample
L01L05,5013972,"Battery HAKKO Monitouch, Model : V7-BT"
L02L01,5013973,Shaft SPSL-SFAF20 Misumi
R08L05,5013975,MS132-10 Manual Motor Starter
R08L05,5013976,"HK1-11, PN 1SAM201902R1001"
R08L05,5013977,"SK1-11, PN 1SAM201903R1001"
R08L05,5013978,UAF-400 Undervoltage release 400V
R08L05,5013979,"UA1-400, PN 1SAM201904R1006"
L02L06,5014081,Shutter Open Cam Topack 13
L02L06,5014082,Shutter Close Cam Topack 13
R02L01,5014083,Belt Conv. XVT2401/ F-3 EXWT HABASIT
R09L03,5014161,"Attachment with Plate, Mat. POM+SS"
R09L02,5014162,"PIN PN 36, Mat. S45C"
R09L02,5014163,"Tension Spring, Mat. Spring Steel"
R09L02,5014164,"Bracket PN 45, Mat. S45C"
R09L02,5014165,"Bracket PN 11, Mat. S45C"
R13L03,5014202,Module miniblue surebead A PN. 1052935
R13L03,5014204,"Filter, Saturn,100Mesh,5 Fil, PN.1007373"
R26L02,5014206,"Baut kunci 24, M16 x 120 mm,Black Steel"
R16L02,5014211,"Pistol Oiler 300ml, Hurupura Jet Oiler"
R06L04,5014212,Kertas Amplas halus C-400
R25L05,5014326,Sponge Rubber Hitam kotak uk. 9x15 mm
R25L05,5014327,Sponge Rubber Hitam bulat Dia. 8 mm
R10L02,5014328,"Brake kanvas safety uk. ID70,5x9xT.4 mm"
L01L06,5014380,Cylin proximity Sensor E2E-X2E1 2M Omron
R10L06,5014381,Clamp gasket for ex-plates PN. 908141
R10L06,5014382,Filler profile for clamp gaskt PN.908142
L01L04,5014383,"Solenoid valve SY9140-5LZ-03, 24VDC, SMC"
R31L04,5014418,"Pressure gauge SS 2,5in 0-6Bar, G1/4 in"
L01L05,5014420,"Push Button Ligth MC3D-M10RB, 24VDC IDEC"
L01L04,5014421,"Coil for Sol. Valve SY5120-5LZ-01, SMC"
R33L04,5014485,"Inverter ATV310HD11N4E, 11 KW, Schneider"
R16L02,5014502,Hand Pump
R13L05,5014517,"Sensor Head FT-H10, Keyence"
R19L03,5014519,Mekanikal Seal CR15-04 AFA E HQ Grundfos
R27L05,5014521,"Reduser PVC 2 1/2"" x 2"", Rucika"
R27L05,5014522,"Reduser PVC 2 1/2"" x 1 1/2"", Rucika"
R27L05,5014523,"Elbow PVC 2 1/2"", Rucika"
R10L02,5014538,"Round cable with loops,includ PN.908662"
R27L01,5014539,"Reduser Drat Glv 1 x 1/2"""
R15L03,5014541,Silicon sealant white
